cdsid,team name,role
aagrawal,Uptime,
aanders1,Upfitter Enablement,
aanderso,Fulfillment,
abrooks,Inventory Management,
abrown,Upfitter Enablement,
abrown1,Payment,
abrown2,Quote to Order,
abrown3,Incident Management,
abrown4,CCoE Analytics,
abrown4,Data Science,
abutler,Access Management,
achoudh1,Productivity,
achoudhu,CRM Customer Data,
achoudhu,Integrated Campaign Analytics,
achoudhu,Marketing & CX,
adavis,Productivity,
adavis1,BEV Fit Tools,
adeshpan,Case Management Workflows,
afoster1,Marketplace,
agupta,Fleet.ford.com,
agupta1,"Authenticated Customer, Fleet Site Migration",
agupta2,NA Commercial Deals,
aharris,Configure Price Quote,
aharris1,Case Management Workflows,
aharris2,Drive & Operate,
aharris3,DevSecOps Enablement,
aharris4,Online Marketplace,
aharris5,Reports & Dashboards,
ahughes,Maintain & Repair,
ahughes,Mobile Service NA,
aiyer,DevSecOps Enablement,
ajohnso2,Tools App,
ajohnso3,FORDLiive EU,
ajohnso4,Sales Solutions,
ajohnson,Incentives and Bids,
ajones,Agent Led Sales,
ajones,Dealer Led Sales,
ajones1,Government Deals,
ajones2,Productivity,
ajones3,FORDLiive EU,
ajones3,FORDLiive Global (Fleet & Service),
ajones3,FORDLiive – Dealer Availability Display (DAD),
ajones3,FORDLiive+ Customer Value Demonstrator (CVD),
ajoshi,B2BCRM,
ajoshi,Dealer Led Sales,
ajoshi,EU Commercial Deals,
ajoshi,Incentive & Bids Dashboards,
ajoshi1,Incentive & Bids Dashboards,
ajoshi1,Vehicle Order Status,
akapoor,Subscription Management,
akapoor1,Agent Led Sales,
akapoor2,Productivity,
akapoor3,Subscription Management,
akhanna,Charging Metrics,
akumar,Title & Registration Services,
akumar2,Content Management (AEM for authoring and CMS),
alewis,Service & Parts Metrics,
amalik,eCommerce,
amartin1,Observability,
amartin2,FORDLiive EU,
amartin3,CADB migration,
amartine,Vehicle Storefront,
amehta,CRM Pre-Build,
amehta,Salesforce Data Interface,
amehta,Salesforce Enablement,
amiller,Mobile Service EU,
amiller1,User Growth,
amiller2,Salesforce Data Interface,
amiller3,Productivity,
amiller4,Government Deals,
amishra,Service Cloud Integrations,
amurthy,Software Subscriptions,
anair,Productivity,
apatel,User Growth,
apatel1,Reports & Dashboards,
apatel2,Model Ops,
aprice,Observability,
arao,Dealer Led Sales,
arao1,Data Ingestion and Transformation,
areddy,Fleet Customer Management,
areddy1,Content and Brand Marketing,
areddy2,CRM Foundations,
asaxena,Software Fulfillment,
asharma,Equipment Management,
asharma1,Managed Maintenance,
asingh,Ford Pro Gateway,
asingh1,Catalog Management,
asinha,Subscription Management,
asmith,Ordering,
asmith,Quote to Order,
asmith1,CRM Data Interfaces,
asmith3,Case Management Workflows,
asmith4,Billing & Payments,
asmith4,Business Intelligence,
asmith4,Service & Parts Metrics,
asmith5,Data Science,
asmith5,ProTech GPT,
asmith6,Dealer Led Sales,
asmith7,Data Science - Service & Parts,
asmith8,Tools App,
asmith9,Mobile App,
ataylor,Quote to Order,
ataylor1,Search & Locate,
